ticker,company_name,exchange,pollution_group,industry,state_own_pct,total_assets,total_liabilities,net_income,leverage,roa,loss,year
BBS,Công ty cổ phần VICEM Bao bì Bút Sơn,HNX,high,,,,,,,,,
BCC,Công ty Cổ phần Xi măng Bỉm Sơn,HNX,high,,,,,,,,,
BPC,Công ty cổ phần Vicem Bao bì Bỉm Sơn,HNX,high,,,,,,,,,
BTS,Công ty cổ phần Xi măng Vicem Bút Sơn,HNX,high,,,,,,,,,
CLH,Công ty cổ phần Xi măng La Hiên VVMI,HNX,high,,,,,,,,,
CLM,CTCP Xuất nhập khẩu Than - Vinacomin,HNX,high,,,,,,,,,
CST,Công ty cổ phần Than Cao Sơn - TKV,HNX,high,,,,,,,,,
GMX,Công ty cổ phần Gạch Ngói Gốm Xây dựng Mỹ Xuân,HNX,high,,,,,,,,,
HCT,Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,HNX,high,,,,,,,,,
HDA,Công ty Cổ phần Hãng sơn Đông Á,HNX,high,,,,,,,,,
HLC,Công ty cổ phần Than Hà Lầm - Vinacomin,HNX,high,,,,,,,,,
HOM,Công ty cổ phần Xi măng VICEM Hoàng Mai,HNX,high,,,,,,,,,
HVT,Công ty Cổ phần Hóa chất Việt Trì,HNX,high,,,,,,,,,
LAS,Công ty cổ phần Supe Phốt phát và Hóa chất Lâm Thao,HNX,high,,,,,,,,,
MCC,Công ty Cổ phần Gạch ngói cao cấp,HNX,high,,,,,,,,,
MDC,Công ty cổ phần Than Mông Dương - Vinacomin,HNX,high,,,,,,,,,
MEL,Công ty Cổ phần Thép Mê Lin,HNX,high,,,,,,,,,
NBC,Công ty cổ phần Than Núi Béo – Vinacomin,HNX,high,,,,,,,,,
NBP,Công ty Cổ phần Nhiệt điện Ninh Bình,HNX,high,,,,,,,,,
NHC,Công ty Cổ phần Gạch Ngói Nhị Hiệp,HNX,high,,,,,,,,,
NST,Công ty Cổ phần Ngân Sơn,HNX,high,,,,,,,,,
NTP,Công ty Cổ phần Nhựa Thiếu niên Tiền Phong,HNX,high,,,,,,,,,
PBP,Công ty cổ phần Bao bì Dầu khí Việt Nam,HNX,high,,,,,,,,,
PCE,Công ty cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,HNX,high,,,,,,,,,
PCH,Công ty Cổ phần Nhựa Picomat,HNX,high,,,,,,,,,
PEN,Công ty cổ phần Xây lắp III Petrolimex,HNX,high,,,,,,,,,
PGN,Công ty Cổ phần Phụ gia Nhựa,HNX,high,,,,,,,,,
PIA,Công ty cổ phần Tin học Viễn thông Petrolimex,HNX,high,,,,,,,,,
PJC,Công ty Cổ phần Thương mại và Vận tải Petrolimex Hà Nội,HNX,high,,,,,,,,,
PLC,Tổng Công ty Hóa dầu Petrolimex-CTCP,HNX,high,,,,,,,,,
PMB,Công ty cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,HNX,high,,,,,,,,,
PPS,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,HNX,high,,,,,,,,,
PPT,Công ty cổ phần Petro Times,HNX,high,,,,,,,,,
PPY,Công ty cổ phần Xăng dầu Dầu khí Phú Yên,HNX,high,,,,,,,,,
PSC,Công ty cổ phần Vận tải và Dịch vụ Petrolimex Sài Gòn,HNX,high,,,,,,,,,
PSD,Công ty cổ phần Dịch vụ Phân phối Tổng hợp Dầu khí,HNX,high,,,,,,,,,
PSE,Công ty cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,HNX,high,,,,,,,,,
PSI,Công ty cổ phần Chứng khoán Dầu khí,HNX,high,,,,,,,,,
PSW,Công ty cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,HNX,high,,,,,,,,,
PTS,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng,HNX,high,,,,,,,,,
PTX,Công ty cổ phần Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,HNX,high,,,,,,,,,
PVB,Công ty cổ phần Bọc ống Dầu khí Việt Nam,HNX,high,,,,,,,,,
PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,HNX,high,,,,,,,,,
PVS,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,HNX,high,,,,,,,,,
SDN,Công ty Cổ phần Sơn Đồng Nai,HNX,high,,,,,,,,,
SFN,Công ty Cổ phần Dệt lưới Sài Gòn,HNX,high,,,,,,,,,
SHE,Công ty Cổ phần Phát triển năng lượng Sơn Hà,HNX,high,,,,,,,,,
SLS,Công ty cổ phần Mía đường Sơn La,HNX,high,,,,,,,,,
SSM,Công ty Cổ phần Chế tạo Kết cấu Thép VNECO.SSM,HNX,high,,,,,,,,,
TBX,Công ty Cổ phần Xi măng Thái Bình,HNX,high,,,,,,,,,
TC6,Công ty cổ phần Than Cọc Sáu - Vinacomin,HNX,high,,,,,,,,,
TD6,Công ty cổ phần Than Đèo Nai - Cọc Sáu - TKV,HNX,high,,,,,,,,,
TDN,Công ty Cổ phần Than Đèo Nai - Vinacomin,HNX,high,,,,,,,,,
THB,Công ty cổ phần Bia Hà Nội - Thanh Hóa,HNX,high,,,,,,,,,
THS,Công ty cổ phần Thanh Hoa - Sông Đà,HNX,high,,,,,,,,,
THT,Công ty cổ phần Than Hà Tu - Vinacomin,HNX,high,,,,,,,,,
TMB,Công ty Cổ phần Kinh doanh than Miền Bắc - Vinacomin,HNX,high,,,,,,,,,
TMX,Công ty cổ phần VICEM Thương mại Xi măng,HNX,high,,,,,,,,,
TTC,Công ty Cổ phần Gạch men Thanh Thanh,HNX,high,,,,,,,,,
TVD,Công ty cổ phần Than Vàng Danh - Vinacomin,HNX,high,,,,,,,,,
TXM,Công ty cổ phần VICEM Thạch cao Xi măng,HNX,high,,,,,,,,,
VBC,Công ty Cổ phần Nhựa Bao bì Vinh,HNX,high,,,,,,,,,
VGS,Công ty Cổ phần Ống thép Việt Đức VG PIPE,HNX,high,,,,,,,,,
VIT,Công ty Cổ phần Viglacera Tiên Sơn,HNX,high,,,,,,,,,
VTZ,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,HNX,high,,,,,,,,,
AAA,Công ty Cổ phần Nhựa An Phát Xanh,HSX,high,,,,,,,,,
AAT,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,HSX,high,,,,,,,,,
ADP,Công ty Cổ phần Sơn Á Đông,HSX,high,,,,,,,,,
ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha,HSX,high,,,,,,,,,
BFC,Công ty cổ phần Phân bón Bình Điền,HSX,high,,,,,,,,,
BMP,Công ty Cổ phần Nhựa Bình Minh,HSX,high,,,,,,,,,
BRC,Công ty Cổ phần Cao su Bến Thành,HSX,high,,,,,,,,,
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,HSX,high,,,,,,,,,
BTP,Công ty Cổ phần Nhiệt điện Bà Rịa,HSX,high,,,,,,,,,
CCL,Công ty cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,HSX,high,,,,,,,,,
CSM,Công ty Cổ phần Công nghiệp Cao su Miền Nam,HSX,high,,,,,,,,,
CSV,Công ty Cổ phần Hóa chất Cơ bản miền Nam,HSX,high,,,,,,,,,
DCM,Công ty Cổ phần Phân bón Dầu khí Cà Mau,HSX,high,,,,,,,,,
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,HSX,high,,,,,,,,,
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí-CTCP,HSX,high,,,,,,,,,
DPR,Công ty Cổ phần Cao su Đồng Phú,HSX,high,,,,,,,,,
DRC,Công ty Cổ phần Cao su Đà Nẵng,HSX,high,,,,,,,,,
GVR,Tập đoàn Công nghiệp Cao su Việt Nam,HSX,high,,,,,,,,,
HHP,Công ty cổ phần Giấy Hoàng Hà Hải Phòng,HSX,high,,,,,,,,,
HMC,Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh - Vnsteel,HSX,high,,,,,,,,,
HRC,Công ty Cổ phần Cao su Hòa Bình,HSX,high,,,,,,,,,
HT1,Công ty Cổ phần xi măng VICEM Hà Tiên,HSX,high,,,,,,,,,
HTG,Tổng Công ty cổ phần Dệt may Hòa Thọ,HSX,high,,,,,,,,,
HVX,Công ty Cổ phần Xi măng Vicem Hải Vân,HSX,high,,,,,,,,,
LSS,Công ty Cổ phần Mía đường Lam Sơn,HSX,high,,,,,,,,,
NHH,Công ty Cổ phần Nhựa Hà Nội,HSX,high,,,,,,,,,
NKG,Công ty Cổ phần Thép Nam Kim,HSX,high,,,,,,,,,
NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,HSX,high,,,,,,,,,
PET,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,HSX,high,,,,,,,,,
PGC,Tổng Công ty Gas Petrolimex-CTCP,HSX,high,,,,,,,,,
PGD,Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,HSX,high,,,,,,,,,
PGI,Tổng Công ty cổ phần Bảo hiểm Petrolimex,HSX,high,,,,,,,,,
PHR,Công ty cổ phần Cao su Phước Hòa,HSX,high,,,,,,,,,
PIT,Công ty Cổ phần Xuất nhập khẩu Petrolimex,HSX,high,,,,,,,,,
PJT,Công ty Cổ phần Vận tải Xăng dầu Đường thủy Petrolimex,HSX,high,,,,,,,,,
PLP,Công ty Cổ phần Sản xuất và Công nghệ Nhựa Pha Lê,HSX,high,,,,,,,,,
PMG,Công ty Cổ phần Đầu tư và Sản xuất Petro Miền Trung,HSX,high,,,,,,,,,
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,HSX,high,,,,,,,,,
PPC,Công ty Cổ phần Nhiệt điện Phả Lại,HSX,high,,,,,,,,,
PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,HSX,high,,,,,,,,,
PVP,Công ty Cổ phần Vận tải dầu khí Thái Bình Dương,HSX,high,,,,,,,,,
PVT,Tổng công ty Cổ phần Vận tải Dầu khí,HSX,high,,,,,,,,,
SFG,Công ty Cổ phần Phân bón Miền Nam,HSX,high,,,,,,,,,
SHA,Công ty Cổ phần Sơn Hà Sài Gòn,HSX,high,,,,,,,,,
SHI,Công ty cổ phần Quốc tế Sơn Hà,HSX,high,,,,,,,,,
SRC,Công ty Cổ phần Cao Su Sao Vàng,HSX,high,,,,,,,,,
TCM,Công ty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công,HSX,high,,,,,,,,,
TCR,Công ty Cổ phần Công nghiệp Gốm sứ Taicera,HSX,high,,,,,,,,,
TLH,Công ty Cổ phần Tập đoàn Thép Tiến Lên,HSX,high,,,,,,,,,
TNC,Công ty Cổ phần Cao su Thống Nhất,HSX,high,,,,,,,,,
TPC,Công ty Cổ phần Nhựa Tân Đại Hưng,HSX,high,,,,,,,,,
TRC,Công ty Cổ phần Cao su Tây Ninh,HSX,high,,,,,,,,,
TSA,Công ty Cổ phần Đầu tư và Xây lắp Trường Sơn,HSX,high,,,,,,,,,
VCA,Công ty Cổ phần Thép VICASA - VNSTEEL,HSX,high,,,,,,,,,
VSH,Công ty Cổ phần Thủy điện Vĩnh Sơn - Sông Hinh,HSX,high,,,,,,,,,
ADC,Công ty Cổ phần Mĩ thuật và Truyền thông,HNX,low,,,,,,,,,
AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y,HNX,low,,,,,,,,,
APS,Công ty Cổ phần Chứng khoán Châu Á – Thái Bình Dương,HNX,low,,,,,,,,,
BAB,Ngân hàng Thương mại cổ phần Bắc Á,HNX,low,,,,,,,,,
BSC,Công ty Cổ phần Dịch vụ Bến Thành,HNX,low,,,,,,,,,
BVS,Công ty Cổ phần Chứng khoán Bảo Việt,HNX,low,,,,,,,,,
CAR,Công ty Cổ phần Tập đoàn Giáo dục Trí Việt,HNX,low,,,,,,,,,
CIA,Công ty Cổ phần Dịch vụ Sân bay Quốc tế Cam Ranh,HNX,low,,,,,,,,,
DAD,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng,HNX,low,,,,,,,,,
DAE,Công ty Cổ phần Sách Giáo dục tại Tp. Đà Nẵng,HNX,low,,,,,,,,,
DHT,Công ty Cổ phần Dược phẩm Hà Tây,HNX,low,,,,,,,,,
DP3,Công ty Cổ phần Dược phẩm Trung ương 3,HNX,low,,,,,,,,,
DTG,Công ty Cổ phần Dược phẩm Tipharco,HNX,low,,,,,,,,,
DVM,Công ty Cổ phần Dược liệu Việt Nam,HNX,low,,,,,,,,,
EBS,Công ty Cổ phần Sách Giáo dục tại Tp.Hà Nội,HNX,low,,,,,,,,,
EID,Công ty Cổ phần Đầu tư và Phát triển giáo dục Hà Nội,HNX,low,,,,,,,,,
EVS,Công ty cổ phần Chứng khoán EVS,HNX,low,,,,,,,,,
HBS,Công ty Cổ phần Chứng khoán Hòa Bình,HNX,low,,,,,,,,,
IVS,Công ty cổ phần Chứng khoán Guotai Junan (Việt Nam),HNX,low,,,,,,,,,
LBE,Công ty cổ phần Thương mại và Dịch vụ LVA,HNX,low,,,,,,,,,
LDP,Công ty Cổ phần Dược Lâm Đồng - Ladophar,HNX,low,,,,,,,,,
MAS,Công ty cổ phần Dịch vụ Hàng không Sân bay Đà Nẵng,HNX,low,,,,,,,,,
MBS,Công ty cổ phần Chứng khoán MB,HNX,low,,,,,,,,,
MED,Công ty cổ phần Dược Trung ương Mediplantex,HNX,low,,,,,,,,,
MKV,Công ty Cổ phần Dược Thú y Cai Lậy,HNX,low,,,,,,,,,
NVB,Ngân hàng Thương mại cổ phần Quốc Dân,HNX,low,,,,,,,,,
OCH,Công ty Cổ phần One Capital Hospitality,HNX,low,,,,,,,,,
ONE,Công ty Cổ phần Công nghệ ONE,HNX,low,,,,,,,,,
PMC,Công ty Cổ phần Dược phẩm Dược liệu Pharmedic,HNX,low,,,,,,,,,
PPP,Công ty Cổ phần Dược phẩm Phong Phú,HNX,low,,,,,,,,,
PRE,Tổng Công ty Cổ phần Tái bảo hiểm Hà Nội (Hanoi Re),HNX,low,,,,,,,,,
PTI,Tổng Công ty Cổ phần Bảo hiểm Bưu điện,HNX,low,,,,,,,,,
SED,Công ty Cổ phần Đầu tư và Phát triển giáo dục Phương Nam,HNX,low,,,,,,,,,
SGD,Công ty cổ phần Sách Giáo dục tại T.P Hồ Chí Minh,HNX,low,,,,,,,,,
SHS,Công ty Cổ phần Chứng Khoán Sài Gòn Hà Nội,HNX,low,,,,,,,,,
SMN,Công ty Cổ phần Sách và Thiết bị Giáo dục Miền Nam,HNX,low,,,,,,,,,
TJC,Công ty cổ phần Dịch vụ Vận tải và Thương mại,HNX,low,,,,,,,,,
TTH,Công ty cổ phần Thương mại và Dịch vụ Tiến Thành,HNX,low,,,,,,,,,
VFS,Công ty Cổ phần Chứng khoán Nhất Việt,HNX,low,,,,,,,,,
VHE,Công ty Cổ phần Dược liệu và Thực phẩm Việt Nam,HNX,low,,,,,,,,,
VIG,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,HNX,low,,,,,,,,,
VLA,Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn Lang,HNX,low,,,,,,,,,
VNR,Tổng Công ty Cổ phần Tái bảo hiểm quốc gia Việt Nam,HNX,low,,,,,,,,,
VTC,Công ty Cổ phần Viễn thông VTC,HNX,low,,,,,,,,,
