ticker,year,quarter,time,code,name,value,name_en,var_en
AAA,2020,1,Q1-2020,ShortTermFloatingCapital,Tổng tài sản lưu động ngắn hạn,4556885712.745,Current assets,current_assets
AAA,2020,1,Q1-2020,TotalAsset,Tổng tài sản,7768231726.599,Total assets,total_assets
AAA,2020,1,Q1-2020,TotalDebt,Tổng nợ,4527286854.655,Total liabilities,total_liabilities
AAA,2020,1,Q1-2020,TotalOwnerCapital,Vốn chủ sở hữu,3240944871.944,Total equity,total_equity
AAA,2020,1,Q1-2020,TotalShortTermDebt,Nợ ngắn hạn,3064318165.019,Current liabilities,current_liabilities
AAA,2020,2,Q2-2020,ShortTermFloatingCapital,Tổng tài sản lưu động ngắn hạn,4344553691.137,Current assets,current_assets
AAA,2020,2,Q2-2020,TotalAsset,Tổng tài sản,7786584839.414,Total assets,total_assets
AAA,2020,2,Q2-2020,TotalDebt,Tổng nợ,4544986504.306,Total liabilities,total_liabilities
AAA,2020,2,Q2-2020,TotalOwnerCapital,Vốn chủ sở hữu,3241598335.108,Total equity,total_equity
AAA,2020,2,Q2-2020,TotalShortTermDebt,Nợ ngắn hạn,3149512205.775,Current liabilities,current_liabilities
AAA,2020,3,Q3-2020,ShortTermFloatingCapital,Tổng tài sản lưu động ngắn hạn,4205633058.73,Current assets,current_assets
AAA,2020,3,Q3-2020,TotalAsset,Tổng tài sản,8206176494.747,Total assets,total_assets
AAA,2020,3,Q3-2020,TotalDebt,Tổng nợ,4239353049.643,Total liabilities,total_liabilities
AAA,2020,3,Q3-2020,TotalOwnerCapital,Vốn chủ sở hữu,3966823445.104,Total equity,total_equity
AAA,2020,3,Q3-2020,TotalShortTermDebt,Nợ ngắn hạn,2795587293.037,Current liabilities,current_liabilities
AAA,2020,4,Q4-2020,ShortTermFloatingCapital,Tổng tài sản lưu động ngắn hạn,4451050828.524,Current assets,current_assets
AAA,2020,4,Q4-2020,TotalAsset,Tổng tài sản,8569613917.893,Total assets,total_assets
AAA,2020,4,Q4-2020,TotalDebt,Tổng nợ,4545451942.407,Total liabilities,total_liabilities
AAA,2020,4,Q4-2020,TotalOwnerCapital,Vốn chủ sở hữu,4024161975.486,Total equity,total_equity
AAA,2020,4,Q4-2020,TotalShortTermDebt,Nợ ngắn hạn,3772834861.366,Current liabilities,current_liabilities
AAA,2021,1,Q1-2021,ShortTermFloatingCapital,Tổng tài sản lưu động ngắn hạn,5279713527.496,Current assets,current_assets
AAA,2021,1,Q1-2021,TotalAsset,Tổng tài sản,9179385142.444,Total assets,total_assets
AAA,2021,1,Q1-2021,TotalDebt,Tổng nợ,5051729751.083,Total liabilities,total_liabilities
AAA,2021,1,Q1-2021,TotalOwnerCapital,Vốn chủ sở hữu,4127655391.361,Total equity,total_equity
AAA,2021,1,Q1-2021,TotalShortTermDebt,Nợ ngắn hạn,4114416685.869,Current liabilities,current_liabilities
AAA,2021,2,Q2-2021,ShortTermFloatingCapital,Tổng tài sản lưu động ngắn hạn,5467617108.516,Current assets,current_assets
AAA,2021,2,Q2-2021,TotalAsset,Tổng tài sản,9642310081.327,Total assets,total_assets
AAA,2021,2,Q2-2021,TotalDebt,Tổng nợ,4430109618.877,Total liabilities,total_liabilities
AAA,2021,2,Q2-2021,TotalOwnerCapital,Vốn chủ sở hữu,5212200462.45,Total equity,total_equity
AAA,2021,2,Q2-2021,TotalShortTermDebt,Nợ ngắn hạn,3713259862.429,Current liabilities,current_liabilities
AAA,2021,3,Q3-2021,ShortTermFloatingCapital,Tổng tài sản lưu động ngắn hạn,5461324349.888,Current assets,current_assets
AAA,2021,3,Q3-2021,TotalAsset,Tổng tài sản,9957115220.854,Total assets,total_assets
AAA,2021,3,Q3-2021,TotalDebt,Tổng nợ,4659393268.03,Total liabilities,total_liabilities
AAA,2021,3,Q3-2021,TotalOwnerCapital,Vốn chủ sở hữu,5297721952.824,Total equity,total_equity
AAA,2021,3,Q3-2021,TotalShortTermDebt,Nợ ngắn hạn,3801512394.659,Current liabilities,current_liabilities
AAA,2021,4,Q4-2021,ShortTermFloatingCapital,Tổng tài sản lưu động ngắn hạn,5336715803.039,Current assets,current_assets
AAA,2021,4,Q4-2021,TotalAsset,Tổng tài sản,9991631928.569,Total assets,total_assets
AAA,2021,4,Q4-2021,TotalDebt,Tổng nợ,4533249592.064,Total liabilities,total_liabilities
AAA,2021,4,Q4-2021,TotalOwnerCapital,Vốn chủ sở hữu,5458382336.505,Total equity,total_equity
AAA,2021,4,Q4-2021,TotalShortTermDebt,Nợ ngắn hạn,3260484568.906,Current liabilities,current_liabilities
AAA,2022,1,Q1-2022,ShortTermFloatingCapital,Tổng tài sản lưu động ngắn hạn,5562193645.295,Current assets,current_assets
AAA,2022,1,Q1-2022,TotalAsset,Tổng tài sản,10477077016.93,Total assets,total_assets
AAA,2022,1,Q1-2022,TotalDebt,Tổng nợ,5103178395.965,Total liabilities,total_liabilities
AAA,2022,1,Q1-2022,TotalOwnerCapital,Vốn chủ sở hữu,5373898620.965,Total equity,total_equity
AAA,2022,1,Q1-2022,TotalShortTermDebt,Nợ ngắn hạn,3838441760.839,Current liabilities,current_liabilities
AAA,2022,2,Q2-2022,ShortTermFloatingCapital,Tổng tài sản lưu động ngắn hạn,5692503386.811,Current assets,current_assets
AAA,2022,2,Q2-2022,TotalAsset,Tổng tài sản,10928357909.053,Total assets,total_assets
AAA,2022,2,Q2-2022,TotalDebt,Tổng nợ,5338776782.033,Total liabilities,total_liabilities
AAA,2022,2,Q2-2022,TotalOwnerCapital,Vốn chủ sở hữu,5589581127.02,Total equity,total_equity
AAA,2022,2,Q2-2022,TotalShortTermDebt,Nợ ngắn hạn,4002483814.408,Current liabilities,current_liabilities
AAA,2022,3,Q3-2022,ShortTermFloatingCapital,Tổng tài sản lưu động ngắn hạn,6138746931.264,Current assets,current_assets
AAA,2022,3,Q3-2022,TotalAsset,Tổng tài sản,11277995454.318,Total assets,total_assets
AAA,2022,3,Q3-2022,TotalDebt,Tổng nợ,4882951646.543,Total liabilities,total_liabilities
AAA,2022,3,Q3-2022,TotalOwnerCapital,Vốn chủ sở hữu,6395043807.775,Total equity,total_equity
AAA,2022,3,Q3-2022,TotalShortTermDebt,Nợ ngắn hạn,3326090788.653,Current liabilities,current_liabilities
AAA,2022,4,Q4-2022,ShortTermFloatingCapital,Tổng tài sản lưu động ngắn hạn,5623485000.285,Current assets,current_assets
AAA,2022,4,Q4-2022,TotalAsset,Tổng tài sản,10781316431.919,Total assets,total_assets
AAA,2022,4,Q4-2022,TotalDebt,Tổng nợ,4613713019.899,Total liabilities,total_liabilities
AAA,2022,4,Q4-2022,TotalOwnerCapital,Vốn chủ sở hữu,6167603412.02,Total equity,total_equity
AAA,2022,4,Q4-2022,TotalShortTermDebt,Nợ ngắn hạn,3195249080.486,Current liabilities,current_liabilities
AAT,2021,1,Q1-2021,ShortTermFloatingCapital,Tổng tài sản lưu động ngắn hạn,252222817.564,Current assets,current_assets
AAT,2021,1,Q1-2021,TotalAsset,Tổng tài sản,656128944.823,Total assets,total_assets
AAT,2021,1,Q1-2021,TotalDebt,Tổng nợ,222316906.603,Total liabilities,total_liabilities
AAT,2021,1,Q1-2021,TotalOwnerCapital,Vốn chủ sở hữu,433812038.22,Total equity,total_equity
AAT,2021,1,Q1-2021,TotalShortTermDebt,Nợ ngắn hạn,160407880.947,Current liabilities,current_liabilities
