ticker,year,quarter,time,securities_investment,long_term_investments,current_assets,loans_receivable,cash_and_deposits,total_assets,total_liabilities,total_equity,current_liabilities,vonqui
AAA,2020,1,Q1-2020,,,4556885712.745,,,7768231726.599,4527286854.655,3240944871.944,3064318165.019,
AAA,2020,2,Q2-2020,,,4344553691.137,,,7786584839.414,4544986504.306,3241598335.108,3149512205.775,
AAA,2020,3,Q3-2020,,,4205633058.73,,,8206176494.747,4239353049.643,3966823445.104,2795587293.037,
AAA,2020,4,Q4-2020,,,4451050828.524,,,8569613917.893,4545451942.407,4024161975.486,3772834861.366,
AAA,2021,1,Q1-2021,,,5279713527.496,,,9179385142.444,5051729751.083,4127655391.361,4114416685.869,
AAA,2021,2,Q2-2021,,,5467617108.516,,,9642310081.327,4430109618.877,5212200462.45,3713259862.429,
AAA,2021,3,Q3-2021,,,5461324349.888,,,9957115220.854,4659393268.03,5297721952.824,3801512394.659,
AAA,2021,4,Q4-2021,,,5336715803.039,,,9991631928.569,4533249592.064,5458382336.505,3260484568.906,
AAA,2022,1,Q1-2022,,,5562193645.295,,,10477077016.93,5103178395.965,5373898620.965,3838441760.839,
AAA,2022,2,Q2-2022,,,5692503386.811,,,10928357909.053,5338776782.033,5589581127.02,4002483814.408,
AAA,2022,3,Q3-2022,,,6138746931.264,,,11277995454.318,4882951646.543,6395043807.775,3326090788.653,
AAA,2022,4,Q4-2022,,,5623485000.285,,,10781316431.919,4613713019.899,6167603412.02,3195249080.486,
AAT,2021,1,Q1-2021,,,252222817.564,,,656128944.823,222316906.603,433812038.22,160407880.947,
AAT,2021,2,Q2-2021,,,230131104.003,,,631851425.283,182091747.363,449759677.92,106502438.847,
AAT,2021,3,Q3-2021,,,231158815.652,,,718474812.928,266241639.221,452233173.707,170452416.61,
AAT,2021,4,Q4-2021,,,342662732.491,,,976051727.827,307764046.643,668287681.184,105950448.203,
AAT,2022,1,Q1-2022,,,494376568.696,,,1237793386.803,569035164.392,668758222.411,356116508.979,
AAT,2022,2,Q2-2022,,,366016769.72,,,1099972930.564,342890564.234,757082366.33,145828644.946,
AAT,2022,3,Q3-2022,,,441267367.379,,,1059538048.227,320044956.535,739493091.692,130216820.877,
AAT,2022,4,Q4-2022,,,447221040.571,,,1056917551.882,317022676.267,739894875.615,135729762.764,
ABR,2020,2,Q2-2020,,,192129178.593,,,277974311.988,50272697.82,227701614.168,47691268.238,
ABR,2021,1,Q1-2021,,,217919816.782,,,299039661.264,58587078.947,240452582.317,55428606.565,
ABR,2021,2,Q2-2021,,,217561467.864,,,296710286.777,51675974.527,245034312.25,48314319.045,
ABR,2021,3,Q3-2021,,,237751435.715,,,314438450.157,64776783.373,249661666.784,61150076.092,
