ticker,year,quarter,time,revenue_net,cogs,gross_profit,other_profit,profit_after_tax,financial_income_net,net_income_parent,total_expenses,total_revenue,profit_before_tax
AAA,2020,1,Q1-2020,1573567523.917,1393581779.831,178765551.995,12091828.193,62658415.975,-20950721.572,58484466.803,,,73910543.742
AAA,2020,2,Q2-2020,1813708066.994,1627230324.269,183365659.083,351049.381,74202580.588,-17086417.257,67684300.148,,,76012916.53
AAA,2020,3,Q3-2020,1929838085.125,1719945872.561,207211139.931,-1709627.06,86077882.504,-8264152.781,78565203.153,,,100021813.046
AAA,2020,4,Q4-2020,2121135981.877,1910863817.019,207592870.355,-2907898.383,60433448.597,-13604648.544,57706672.925,,,69002760.213
AAA,2021,1,Q1-2021,2284373757.361,2044520172.452,239097135.644,848117.656,89518452.312,2788813.113,75141819.491,,,106055496.044
AAA,2021,2,Q2-2021,3269796291.844,2910330501.951,354415354.057,-9198752.562,92772805.213,-4647451.075,83357681.623,,,117230499.4
AAA,2021,3,Q3-2021,3409264544.303,3089423538.078,317756575.798,-1292875.863,67272699.393,13447775.87,62514754.147,,,93539946.201
AAA,2021,4,Q4-2021,4201845098.822,3818147546.774,380688803.247,2410034.361,69875541.074,18128527.399,60517570.104,,,96809432.071
AAA,2022,1,Q1-2022,4027853795.475,3634008629.551,393675768.916,734710.228,96487927.146,-19274142.917,88086043.638,,,122916373.731
AAA,2022,2,Q2-2022,4616083413.219,4269180045.101,343029980.637,-1776987.859,92404767.028,2964386.104,84622586.641,,,113705961.032
AAA,2022,3,Q3-2022,3291406943.915,2972146306.598,308188347.323,-2714271.556,76617432.221,-18138301.586,79866172.011,,,104879486.254
AAA,2022,4,Q4-2022,3415845425.613,3372303457.27,34255877.017,1400327.053,-152754105.708,-8471784.32,-97726483.611,,,-159939726.343
AAT,2021,1,Q1-2021,115831425.628,98624825.323,17206600.305,-38892.215,8878493.003,-2170559.448,8878493.003,,,11107839.307
AAT,2021,2,Q2-2021,188524723.433,162364470.866,26160252.567,-137037.309,15947639.7,-2759286.492,15947639.7,,,19973680.948
AAT,2021,3,Q3-2021,100941171.983,89058138.299,11883033.684,-397602.499,2473495.787,-2403404.981,2473495.787,,,3191270.358
AAT,2021,4,Q4-2021,67877676.04,65746994.334,2130681.706,4220224.336,1064894.477,-2192877.612,1064894.46,,,1864363.869
AAT,2022,1,Q1-2022,114596183.383,105258104.577,9338078.806,-550010.226,21407.935,-3766962.342,21407.935,,,164262.475
AAT,2022,2,Q2-2022,459585336.034,340437962.693,119147373.341,-157628.799,88324143.919,-5222374.89,88324143.919,,,110444587.098
AAT,2022,3,Q3-2022,118372033.792,107756512.004,10615521.788,-75852.651,610784.187,-4583470.585,610784.187,,,786469.209
AAT,2022,4,Q4-2022,269072255.903,253778621.06,15293634.843,362414.895,1369341.229,-7361583.732,1369341.229,,,1781652.218
ABR,2020,2,Q2-2020,24373556.832,9141603.417,15231953.415,141395.329,5323636.34,1743903.555,5323636.34,,,7774328.341
ABR,2021,1,Q1-2021,21889770.042,11756375.455,10133394.587,59235.309,4012160.297,1503900.679,4012160.297,,,5453504.284
ABR,2021,2,Q2-2021,23266976.914,12048293.606,11218683.308,115430.536,4581729.933,1510650.241,4581729.933,,,6185371.79
ABR,2021,3,Q3-2021,22237525.632,12015466.423,10222059.209,59161.16,4384255.463,1596334.349,4384255.463,,,6004543.255
