code,name_vi,name_en,var_en
DTTBHCCDV,Doanh thu bán hàng và CCDV,Net revenue (goods & services),revenue_net
DTTBHCCDV,Doanh thu thuần về BH và cung cấp DV,Net revenue (goods & services),revenue_net
GV,Giá vốn hàng bán,Cost of goods sold,cogs
LNGBHCCDV,Lợi nhuận gộp về BH và cung cấp DV,Gross profit (goods & services),gross_profit
LNGBHCCDV,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Gross profit (goods & services),gross_profit
LNGBHCCDV,Lợi nhuận gộp về BH và CCDV,Gross profit (goods & services),gross_profit
LNK,Lợi nhuận khác,Other profit/income,other_profit
LNSTTNDN,Lợi nhuận sau thuế,Profit after tax,profit_after_tax
LNSTTNDN,Lợi nhuận KT sau thuế TNDN,Profit after tax,profit_after_tax
LNTC,Lợi nhuận tài chính,Financial income (net),financial_income_net
NetIncome,Lợi nhuận sau thuế của công ty mẹ,Net income (parent company),net_income_parent
NetIncome,Lợi nhuận ròng(**),Net income (parent company),net_income_parent
NetIncome,Lợi nhuận sau thuế,Net income (parent company),net_income_parent
TongChiPhi,Tổng chi phí,Total expenses,total_expenses
TotalIncome,Tổng doanh thu,Total revenue,total_revenue
TotalProfit,Tổng lợi nhuận trước thuế,Profit before tax,profit_before_tax
TotalProfit,Tổng lợi nhuận KT trước thuế,Profit before tax,profit_before_tax
