ticker,state_own_pct_from_ownership,soe_dummy_from_ownership,state_own_source,ownership_keywords_hit,ownership_source_file
AAA,,0,,,AAA_hose_ownership.html
AAT,,0,,,AAT_hose_ownership.html
ABR,,0,,,ABR_hose_ownership.html
ABS,,0,,,ABS_hose_ownership.html
ACB,,0,,,ACB_hose_ownership.html
ACL,,0,,,ACL_hose_ownership.html
ADC,,0,,,ADC_hose_ownership.html
ADG,,0,,,ADG_hose_ownership.html
ADP,,0,,,ADP_hose_ownership.html
AFX,,0,,,AFX_hose_ownership.html
AGG,,0,,,AGG_hose_ownership.html
AGR,,0,,,AGR_hose_ownership.html
ALT,,0,,,ALT_hose_ownership.html
AMC,,0,,,AMC_hose_ownership.html
AME,,0,,,AME_hose_ownership.html
AMV,,0,,,AMV_hose_ownership.html
APG,,0,,,APG_hose_ownership.html
APS,,0,,,APS_hose_ownership.html
ARM,,0,,,ARM_hose_ownership.html
ASM,,0,,,ASM_hose_ownership.html
ASP,,0,,,ASP_hose_ownership.html
AST,,0,,,AST_hose_ownership.html
ATS,,0,,,ATS_hose_ownership.html
BAB,,0,,,BAB_hose_ownership.html
BBC,,0,,,BBC_hose_ownership.html
BBS,,0,,,BBS_hose_ownership.html
BCC,,0,,,BCC_hose_ownership.html
BCM,,0,,,BCM_hose_ownership.html
BDB,,0,,,BDB_hose_ownership.html
BFC,,0,,,BFC_hose_ownership.html
BHN,,0,,,BHN_hose_ownership.html
BIC,,0,,,BIC_hose_ownership.html
BID,,0,,,BID_hose_ownership.html
BKC,,0,,,BKC_hose_ownership.html
BKG,,0,,,BKG_hose_ownership.html
BMP,,0,,,BMP_hose_ownership.html
BPC,,0,,,BPC_hose_ownership.html
BRC,,0,,,BRC_hose_ownership.html
BSC,,0,,,BSC_hose_ownership.html
BSI,,0,,,BSI_hose_ownership.html
BSR,,0,,,BSR_hose_ownership.html
BST,,0,,,BST_hose_ownership.html
BTP,,0,,,BTP_hose_ownership.html
BTS,,0,,,BTS_hose_ownership.html
BTT,,0,,,BTT_hose_ownership.html
BVS,,0,,,BVS_hose_ownership.html
BWE,,0,,,BWE_hose_ownership.html
C32,,0,,,C32_hose_ownership.html
C47,,0,,,C47_hose_ownership.html
CAN,,0,,,CAN_hose_ownership.html
CAR,,0,,,CAR_hose_ownership.html
CCC,,0,,,CCC_hose_ownership.html
CCL,,0,,,CCL_hose_ownership.html
CCR,,0,,,CCR_hose_ownership.html
CDN,,0,,,CDN_hose_ownership.html
CET,,0,,,CET_hose_ownership.html
CHP,,0,,,CHP_hose_ownership.html
CIA,,0,,,CIA_hose_ownership.html
CIG,,0,,,CIG_hose_ownership.html
CJC,,0,,,CJC_hose_ownership.html
CKG,,0,,,CKG_hose_ownership.html
CKV,,0,,,CKV_hose_ownership.html
CLC,,0,,,CLC_hose_ownership.html
CLH,,0,,,CLH_hose_ownership.html
