ticker,company_name,industry,state_own_pct,soe_dummy,hq_address_raw,province,state_own_source,ownership_keywords_hit,source
BBS,Công ty cổ phần VICEM Bao bì Bút Sơn,${this.renderText(this.dataTable?.Nganh)},1.0,1,\u003c/b\u003e Km 2 - Đường Văn Cao - Thành phố Nam Định \u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(350) 383 93 53 - Fax: 84-(350) 384 03 95\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e Ông,Nam Định,keyword_window,tong cong ty,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
BCC,Công ty Cổ phần Xi măng Bỉm Sơn,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Tổ dân phố số 7, phường Bỉm Sơn, tỉnh Thanh Hóa\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(37) 3824 242 Fax: 84-(37) 3824 046\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u0",Thanh Hóa,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
BPC,Công ty cổ phần Vicem Bao bì Bỉm Sơn,${this.renderText(this.dataTable?.Nganh)},100.0,1,\u003c/b\u003e Phường Lam Sơn - Thị xã Bỉm Sơn - Thanh Hóa\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(37) 382 56 32 / 84-(37) 376 74 74 Fax: 0373 82\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u00,Thanh Hóa,keyword_window,ubnd,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
BTS,Công ty cổ phần Xi măng Vicem Bút Sơn,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e TDP Hồng Sơn, P.Lý Thường Kiệt, tỉnh Ninh Bình\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (84-351) 3 851 323 - Fax: (84-351) 3 851 320\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e",Ninh Bình,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
CLH,Công ty cổ phần Xi măng La Hiên VVMI,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Xóm Cây Bòng, xã La Hiên, huyện Võ Nhai, tỉnh Thái Nguyên\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 0280 829154 - Fax: 0280 829056 \u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e",Thái Nguyên,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
CLM,CTCP Xuất nhập khẩu Than - Vinacomin,${this.renderText(this.dataTable?.Nganh)},,0,"\u003c/b\u003e 47 Quang Trung, phường Cửa Nam, T.P Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (04) 39424634| Fax: (04) 39422350\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u003c/p\u003e\",Hà Nội,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
CST,Công ty cổ phần Than Cao Sơn - TKV,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Tổ 1 Khu Cao Sơn 2, phường Cửa Ông, tỉnh Quảng Ninh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(33) 3862 337 Fax: (33) 3863 945\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u",Quảng Ninh,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
GMX,Công ty cổ phần Gạch Ngói Gốm Xây dựng Mỹ Xuân,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Suối Nhum, phường Tân Thành, T.P Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e +84-(064) 3893 150, +84-(064) 3876 770 - Fax: +84(\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u0",Hồ Chí Minh,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
HCT,Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e 290 đường Hà Nội, P.Thượng Lý, Q.Hồng Bàng, T.P Hải Phòng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e +84-(031)-354 0418 - Fax: +84-(031)-354 0417\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u00",Hải Phòng,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
HDA,Công ty Cổ phần Hãng sơn Đông Á,${this.renderText(this.dataTable?.Nganh)},,1,"\u003c/b\u003e Số 59 Đường Thiên Đức, thị trấn Yên Viên, huyện Gia Lâm, thành phố Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(4) 3698 3471 Fax: 84-(4) 3698 3786\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố",Hà Nội,,,sample_500.csv(name)+basicinfo(industry)+intro/history(state/address heuristic)
