ticker,company_name,province,hq_address_raw,soe_dummy_final,state_own_share
AAA,Công ty Cổ phần Nhựa An Phát Xanh,Hải Phòng,"\u003c/b\u003e Lô CN11 + CN12, Cụm CN An Đồng, xã Nam Sách, TP Hải Phòng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 02203.755.998 Fax 02203.755.113\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003",0,
AAT,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,Thanh Hóa,"\u003c/b\u003e Số 09, Quốc lộ 1A, Phường Quang Trung, tỉnh Thanh Hóa\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (84-37) 3770 304 Fax:(84-37) 3772 064\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u0",0,
ABR,Công ty Cổ phần Đầu tư Nhãn hiệu Việt,Hồ Chí Minh,"\u003c/b\u003e Tầng 4, Tòa nhà Crescent Residence 3, 109 Tôn Dật Tiên, Phường Tân Mỹ, TP HCM\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 028 54138366 Số fax: 028 54138370\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông",0,
ABS,Công ty cổ phần Dịch vụ Nông nghiệp Bình Thuận,Lâm Đồng,"\u003c/b\u003e Số 03 Nguyễn Du, Phường Phan Thiết, Tỉnh Lâm Đồng\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (+84) 2523 816 823 Fax: +84 2523 814 599\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e",0,
ACL,Công ty cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,An Giang,"\u003c/b\u003e 90 Hùng Vương, Khóm Mỹ Thọ, P. Long Xuyên, Tỉnh An Giang.\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (0296) 3.931.000 – 3.935.828|Fax: (0296) 3.932.446\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông t",0,
ADC,Công ty Cổ phần Mĩ thuật và Truyền thông,Hà Nội,"\u003c/b\u003e Tầng 12A Diamond Flower, KĐT Trung Hòa-Nhân Chính, phường Yên Hòa, T.P Hà Nội\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e +84 4 3512 1569| Fax: 84-(4) 3512 1385\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố",0,
ADP,Công ty Cổ phần Sơn Á Đông,Hồ Chí Minh,"\u003c/b\u003e 1387 Bến Bình Đông, phường 15, quận 8, T.P. Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 028 3855 26 89 Fax: 028 3855 5092\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e",0,
AFX,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang,An Giang,"\u003c/b\u003e số 2045, đường Trần Hưng Đạo, phường Mỹ Thới, thành phố Long Xuyên, tỉnh An Giang\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (0296) 3932 963\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b",0,
AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Hồ Chí Minh,"\u003c/b\u003e 60 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP.HCM\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e (+84) 28 3930 3366\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgười công bố thông tin:\u003c/b\u003e \u003c/p\u003e\u003cp",0,
ALT,Công ty Cổ phần Văn hóa Tân Bình,Hồ Chí Minh,"\u003c/b\u003e Lô II-3 Nhóm công nghiệp 2, đường số 11, KCN Tân Bình, P.Tây Thạnh, T.P Hồ Chí Minh\u003c/p\u003e\u003cp\u003e\u003cb\u003eĐiện thoại:\u003c/b\u003e 84-(8) 3816 28 84 Fax: 84-(8) 3816 28 87\u003c/p\u003e\u003cp\u003e\u003cb\u003eNgườ",0,
